[09:56:50.613] 
Sensor data processing ENABLED - 20-byte sensor data will be processed and displayed
[09:56:50.637] DATA_LOSS_DETECTED: CB100-2599377 - 38s jump detected (Total jumps: 1)
[09:56:50.639] CB100-2599377--> TS: 1766998598.008 | Pulse:      0 | Charge:     53 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[09:56:50.752] DATA_LOSS_DETECTED: CB100-2598507 - 38s jump detected (Total jumps: 1)
[09:56:50.757] DATA_LOSS_DETECTED: CB100-2597560 - 38s jump detected (Total jumps: 1)
[09:56:50.759] DATA_LOSS_DETECTED: CB100-2597626 - 39s jump detected (Total jumps: 1)
[09:56:50.758] CB100-2598507--> TS: 1766998599.758 | Pulse:      0 | Charge:     53 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[09:56:50.765] CB100-2597560--> TS: 1766998599.527 | Pulse:      0 | Charge:     39 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[09:56:50.769] CB100-2597626--> TS: 1766998599.106 | Pulse:      0 | Charge:     44 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[09:56:50.880] CB100-2599377--> TS: 1766998598.208 | Pulse:      0 | Charge:     53 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[09:56:50.935] CB100-2597560--> TS: 1766998599.726 | Pulse:      0 | Charge:     41 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[09:56:50.993] CB100-2598507--> TS: 1766998599.961 | Pulse:      0 | Charge:     53 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[09:56:51.057] CB100-2599377--> TS: 1766998598.408 | Pulse:      0 | Charge:     54 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[09:56:51.060] CB100-2597626--> TS: 1766998599.308 | Pulse:      0 | Charge:     45 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[09:56:51.173] CB100-2598507--> TS: 1766998600.163 | Pulse:      0 | Charge:     52 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[09:56:51.235] CB100-2597560--> TS: 1766998599.926 | Pulse:      0 | Charge:     40 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[09:56:51.240] CB100-2597626--> TS: 1766998599.510 | Pulse:      0 | Charge:     46 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[09:56:51.297] CB100-2599377--> TS: 1766998598.608 | Pulse:      0 | Charge:     53 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
