[11:13:31.822] 
Sensor data processing ENABLED - 20-byte sensor data will be processed and displayed
[11:13:31.822] DATA_LOSS_DETECTED: CB100-2598888 - 17s jump detected (Total jumps: 1)
[11:13:31.839] CB100-2598888--> TS: 1767003199.180 | Pulse:      0 | Charge:     52 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[11:13:31.949] DATA_LOSS_DETECTED: CB100-2598364 - 17s jump detected (Total jumps: 1)
[11:13:31.961] CB100-2598364--> TS: 1767003203.302 | Pulse:      0 | Charge:     48 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[11:13:31.993] DATA_LOSS_DETECTED: CB100-2559391 - 17s jump detected (Total jumps: 1)
[11:13:32.009] CB100-2598888--> TS: 1767003199.382 | Pulse:      0 | Charge:     51 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[11:13:32.009] CB100-2559391--> TS: 1767003204.192 | Pulse:      0 | Charge:     51 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[11:13:32.073] DATA_LOSS_DETECTED: CB100-2597693 - 17s jump detected (Total jumps: 1)
[11:13:32.073] CB100-2597693--> TS: 1767003201.513 | Pulse:      0 | Charge:     50 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[11:13:32.122] CB100-2598364--> TS: 1767003203.506 | Pulse:      0 | Charge:     48 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[11:13:32.182] CB100-2598888--> TS: 1767003199.584 | Pulse:      0 | Charge:     50 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[11:13:32.182] CB100-2559391--> TS: 1767003204.397 | Pulse:      0 | Charge:     52 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
[11:13:32.182] CB100-2597693--> TS: 1767003201.716 | Pulse:      0 | Charge:     50 | Min:     0 | Max:     0 | ADC:      0 | Mean:   0.00 | Std:   0.00
