bin0_start_c,bin0_end_c,bin1_start_c,bin1_end_c,n0,n1,median0,median1,median_diff,p_value,q_value_bh,significant
20.0,25.0,25.0,30.0,36150,23118,33341.69884170078,-177.34706238223876,33519.04590408302,0.0004997501249375312,0.0006663334999167083,True
25.0,30.0,30.0,35.0,23118,11926,-177.34706238223876,-264.3388960219239,86.99183363968515,0.9110444777611194,0.9110444777611194,False
30.0,35.0,35.0,40.0,11926,5660,-264.3388960219239,3723.085914665704,-3987.424810687628,0.0004997501249375312,0.0006663334999167083,True
35.0,40.0,40.0,45.0,5660,1371,3723.085914665704,-11498.50746268344,15221.593377349143,0.0004997501249375312,0.0006663334999167083,True
