temp_bin,n,median,mean
20.0,36150,33341.69884170078,14213.817221024003
25.0,23118,-177.34706238223876,2623.452417129433
30.0,11926,-264.3388960219239,899.6282948832365
35.0,5660,3723.085914665704,-1574.0931872451615
40.0,1371,-11498.50746268344,-10104.876156647912
