device_uid,source_file,prev_captured_at,captured_at,delta_ms,threshold_ms
CB100-2595836,Batch001_2025-12-26_10min.txt,2025-12-26 12:24:08.005,2025-12-26 12:24:15.436,7431.0,1000.0
CB100-2595836,Batch001_2025-12-26_30min.txt,2025-12-26 12:52:53.212,2025-12-26 12:53:02.308,9096.0,1000.0
