device_uid,source_file,prev_captured_at,captured_at,delta_ms,threshold_ms
CB100-2597693,Batch005_2025-12-29_10min.txt,2025-12-29 10:12:12.850,2025-12-29 10:12:36.834,23984.0,1000.0
CB100-2597693,Batch005_2025-12-29_20min.txt,2025-12-29 10:13:53.789,2025-12-29 10:14:49.789,56000.0,1000.0
