device_uid,source_file,prev_captured_at,captured_at,delta_ms,threshold_ms
CB100-2599429,Batch001_2025-12-26_10min.txt,2025-12-26 12:24:08.154,2025-12-26 12:24:15.470,7316.0,1000.0
CB100-2599429,Batch001_2025-12-26_30min.txt,2025-12-26 12:52:50.649,2025-12-26 12:52:59.849,9200.0,1000.0
