device_uid,source_file,prev_captured_at,captured_at,delta_ms,threshold_ms
CB100-2598385,Batch001_2025-12-26_10min.txt,2025-12-26 12:24:06.693,2025-12-26 12:24:14.075,7382.0,1000.0
CB100-2598385,Batch001_2025-12-26_30min.txt,2025-12-26 12:52:49.181,2025-12-26 12:52:58.489,9308.0,1000.0
