device_uid,source_file,prev_captured_at,captured_at,delta_ms,threshold_ms
CB100-2600577,Batch001_2025-12-26_10min.txt,2025-12-26 12:24:07.511,2025-12-26 12:24:14.905,7394.0,1000.0
CB100-2600577,Batch001_2025-12-26_10min.txt,2025-12-26 12:26:01.464,2025-12-26 12:26:23.751,22287.0,1000.0
CB100-2600577,Batch001_2025-12-26_10min.txt,2025-12-26 12:27:20.329,2025-12-26 12:27:26.656,6327.0,1000.0
CB100-2600577,Batch001_2025-12-26_30min.txt,2025-12-26 12:52:51.329,2025-12-26 12:53:00.606,9277.0,1000.0
