source_file,device_uid,prev_time,event_time,gap_ms_device,gap_ms_receiver,prev_captured_at,captured_at,used_for_collision
Batch001_2025-12-26_10min.txt,CB100-2598385,2025-12-26 13:24:00.560,2025-12-26 13:24:08.068,7382.0,7508.0,2025-12-26 12:24:06.693,2025-12-26 12:24:14.075,True
Batch001_2025-12-26_10min.txt,CB100-2599429,2025-12-26 13:24:01.275,2025-12-26 13:24:08.659,7316.0,7384.0,2025-12-26 12:24:08.154,2025-12-26 12:24:15.470,True
Batch001_2025-12-26_10min.txt,CB100-2600577,2025-12-26 13:24:00.444,2025-12-26 13:24:07.963,7394.0,7519.0,2025-12-26 12:24:07.511,2025-12-26 12:24:14.905,True
Batch001_2025-12-26_10min.txt,CB100-2600577,2025-12-26 13:27:15.510,2025-12-26 13:27:21.930,6327.0,6420.0,2025-12-26 12:27:20.329,2025-12-26 12:27:26.656,True
Batch001_2025-12-26_30min.txt,CB100-2598385,2025-12-26 13:53:14.029,2025-12-26 13:53:23.534,9308.0,9505.0,2025-12-26 12:52:49.181,2025-12-26 12:52:58.489,True
Batch001_2025-12-26_30min.txt,CB100-2599429,2025-12-26 13:53:14.029,2025-12-26 13:53:23.471,9200.0,9442.0,2025-12-26 12:52:50.649,2025-12-26 12:52:59.849,True
Batch001_2025-12-26_30min.txt,CB100-2600577,2025-12-26 13:53:14.047,2025-12-26 13:53:23.535,9277.0,9488.0,2025-12-26 12:52:51.329,2025-12-26 12:53:00.606,True
