charge,dose
47.201458957818566,0.0
49.97434796343662,0.0002
50.47434796343662,0.02516058638903208
51.69692141891784,0.0381015815975195
55.28704135783568,0.0761031631950391
58.87716129675351,0.1141047447925585
62.467281235671344,0.1521063263900781
66.05740117458919,0.1883429622187769
69.64752111350701,0.2249895015353263
73.23764105242485,0.2621509754928444
76.82776099134269,0.2998314329139711
80.41788093026052,0.338034922621347
84.00800086917836,0.3767654934376128
87.59812080809618,0.4160271941854084
91.18824074701402,0.4558240736873746
94.77836068593186,0.4961601807661518
98.3684806248497,0.5370395642443804
101.95860056376752,0.5784662729447008
105.54872050268536,0.6241034008107554
109.1388404416032,0.6732767580453569
112.72896038052104,0.7230095869699713
116.31908031943888,0.7733059364072393
119.90920025835672,0.8241698551798011
123.49932019727454,0.8756053921102971
127.08944013619238,0.927616596021368
130.6795600751102,0.9802075157356538
134.26968001402804,1.0333822000757953
137.85979995294588,1.0871446978644244
141.44991989186371,1.141400508819972
145.04003983078155,1.196493820742556
148.6301597696994,1.2583066667969236
152.22027970861723,1.320808077851554
155.81039964753506,1.384037582232326
159.4005195864529,1.4480179910441833
162.99063952537074,1.5127706323433985
166.58075946428858,1.578315891075711
170.1708794032064,1.6445400272558512
173.76099934212425,1.7114017660304186
177.3511192810421,1.7788760990747607
180.94123921995995,1.8512643582717936
184.53135915887776,1.924925472870802
188.1214790977956,1.999041422781854
191.71159903671344,2.0736416110491014
195.30171897563125,2.1487777334288745
198.89183891454908,2.224498244211773
202.4819588534669,2.3007950966813806
206.0720787923848,2.377558929799448
209.6621987313026,2.457949630068275
213.25231867022043,2.539146716845603
216.84243860913827,2.6207925748668446
220.4325585480561,2.7028960372007265
224.02267848697397,2.7854853759220832
227.61279842589175,2.868575091624006
231.2029183648096,2.952164431181731
234.79303830372743,3.03839375630744
238.3831582426453,3.1263174227906583
241.97327818156316,3.2147384537553827
245.56339812048097,3.301296122183119
249.1535180593988,3.3930695966302893
252.7436379983166,3.482978202290941
256.33375793723445,3.57338115993404
259.9238778761523,3.667201769125337
263.5139978150701,3.7617314980885537
267.104117753988,3.8567533196599206
270.6942376929058,3.952266480714673
274.28435763182364,4.048270228128046
277.8744775707415,4.1447638087752745
281.4645975096593,4.243685470557709
285.05471744857715,4.344080230685403
288.644837387495,4.4449625310054754
292.2349573264128,4.546331618393161
295.82507726533066,4.648186739723695
299.4151972042485,4.750527141872312
303.00531714316634,4.855432340942231
306.5954370820842,4.961484776222148
310.185557021002,5.0680202329458535
313.77567695991985,5.175037957988582
317.3657968988377,5.282537198225568
320.9559168377555,5.390925153032274
324.54603677667336,5.501981464843443
328.1361567155912,5.613517032474574
331.72627665450904,5.725531102800902
335.3163965934269,5.838022922697662
338.90651653234465,5.950991739040088
342.4966364712625,6.066448288541514
346.0867564101803,6.18283250649018
349.67687634909817,6.299691461510218
353.266996288016,6.417024400476864
356.85711622693384,6.534830570265351
360.4472361658517,6.654760394330999
364.0373561047695,6.775864731958161
367.62747604368735,6.897440041032871
371.2175959826052,7.019485568430362
374.807715921523,7.141999973960218
378.39783586044086,7.266631612816004
381.9879557993587,7.392166773632617
385.5780757382765,7.518143410096338
389.1681956771944,7.644556090021593
392.7583156161122,7.771471077097596
396.3484355550301,7.900805183163049
399.9385554939479,8.030571656454295
403.5286754328657,8.16077306563982
407.1187953717836,8.291413673214333
410.7089153107014,8.423448589181625
414.2990352496192,8.557176763705915
417.8891551885371,8.691365892838089
421.4792751274549,8.826025826420485
425.0693950663728,8.961167520408337
428.6595150052906,9.099205874319916
432.2496349442084,9.2377913863141
435.8397548831263,9.376897031687346
439.4298748220441,9.516537065542307
443.01999476096194,9.658568308767965
446.6101146998798,9.80199206626092
450.2002346387976,9.945995847080724
453.7903545777154,10.090595465137785
457.3804745166332,10.23740594660396
460.9705944555511,10.386124840316391
464.5607143944689,10.535487367257693
468.15083433338674,10.685509240002334
471.7409542723046,10.837919126579672
475.3310742112224,10.992262433333645
478.92119415014025,11.147310182891967
482.5113140890581,11.303076406545486
486.1014340279759,11.461825472843495
489.69155396689376,11.62205214553452
493.2816739058116,11.783035070782034
496.87179384472944,11.944987097116648
