device_uid,dosimeter_label,captured_at,log_time,created_at,pulse_count,charge_count,adc_value,source_file,dosimeter_num,monitoring_session_id,id,temperature_c,lag_seconds_raw,lag_seconds
CB100-2599476,CB100-2599476,2025-12-29 09:11:05.778,2025-12-29 10:11:06.788,2025-12-29 09:11:05.778,0,84,0,Batch003_2025-12-29_10min.txt,476,18,55506,41.45,3601.01,1.0100000000002183
CB100-2599476,CB100-2599476,2025-12-29 09:11:05.984,2025-12-29 10:11:06.970,2025-12-29 09:11:05.984,0,83,0,Batch003_2025-12-29_10min.txt,476,18,55510,41.45,3600.986,0.9859999999998763
CB100-2599476,CB100-2599476,2025-12-29 09:11:06.189,2025-12-29 10:11:07.209,2025-12-29 09:11:06.189,0,83,0,Batch003_2025-12-29_10min.txt,476,18,55514,41.45,3601.02,1.0199999999999818
CB100-2599476,CB100-2599476,2025-12-29 09:11:06.395,2025-12-29 10:11:07.511,2025-12-29 09:11:06.395,0,83,0,Batch003_2025-12-29_10min.txt,476,18,55520,41.45,3601.116,1.1159999999999854
CB100-2599476,CB100-2599476,2025-12-29 09:11:06.601,2025-12-29 10:11:07.630,2025-12-29 09:11:06.601,0,83,0,Batch003_2025-12-29_10min.txt,476,18,55522,41.45,3601.029,1.0289999999999964
CB100-2599476,CB100-2599476,2025-12-29 09:11:06.807,2025-12-29 10:11:07.811,2025-12-29 09:11:06.807,0,83,0,Batch003_2025-12-29_10min.txt,476,18,55526,41.45,3601.004,1.0039999999999054
CB100-2599476,CB100-2599476,2025-12-29 09:11:07.012,2025-12-29 10:11:08.050,2025-12-29 09:11:07.012,1,83,0,Batch003_2025-12-29_10min.txt,476,18,55530,41.45,3601.038,1.038000000000011
CB100-2599476,CB100-2599476,2025-12-29 09:11:07.218,2025-12-29 10:11:08.230,2025-12-29 09:11:07.218,0,83,0,Batch003_2025-12-29_10min.txt,476,18,55534,41.45,3601.012,1.012000000000171
CB100-2599476,CB100-2599476,2025-12-29 09:11:07.424,2025-12-29 10:11:08.470,2025-12-29 09:11:07.424,0,83,0,Batch003_2025-12-29_10min.txt,476,18,55538,41.45,3601.046,1.0459999999998217
CB100-2599476,CB100-2599476,2025-12-29 09:11:07.630,2025-12-29 10:11:08.640,2025-12-29 09:11:07.630,0,82,0,Batch003_2025-12-29_10min.txt,476,18,55542,41.45,3601.01,1.0100000000002183
CB100-2599476,CB100-2599476,2025-12-29 09:11:07.835,2025-12-29 10:11:08.895,2025-12-29 09:11:07.835,0,83,0,Batch003_2025-12-29_10min.txt,476,18,55548,41.45,3601.06,1.0599999999999454
CB100-2599476,CB100-2599476,2025-12-29 09:11:08.041,2025-12-29 10:11:09.071,2025-12-29 09:11:08.041,0,82,0,Batch003_2025-12-29_10min.txt,476,18,55550,41.45,3601.03,1.0300000000002
CB100-2599476,CB100-2599476,2025-12-29 09:11:08.247,2025-12-29 10:11:09.310,2025-12-29 09:11:08.247,0,82,0,Batch003_2025-12-29_10min.txt,476,18,55554,41.45,3601.063,1.0630000000001019
CB100-2599476,CB100-2599476,2025-12-29 09:11:08.453,2025-12-29 10:11:09.555,2025-12-29 09:11:08.453,0,84,0,Batch003_2025-12-29_10min.txt,476,18,55560,41.45,3601.102,1.1019999999998618
CB100-2599476,CB100-2599476,2025-12-29 09:11:08.658,2025-12-29 10:11:09.728,2025-12-29 09:11:08.658,0,85,0,Batch003_2025-12-29_10min.txt,476,18,55563,41.45,3601.07,1.0700000000001637
CB100-2599476,CB100-2599476,2025-12-29 09:11:08.864,2025-12-29 10:11:09.964,2025-12-29 09:11:08.864,0,83,0,Batch003_2025-12-29_10min.txt,476,18,55568,41.45,3601.1,1.099999999999909
CB100-2599476,CB100-2599476,2025-12-29 09:11:09.070,2025-12-29 10:11:10.149,2025-12-29 09:11:09.070,0,83,0,Batch003_2025-12-29_10min.txt,476,18,55571,41.45,3601.079,1.0790000000001783
CB100-2599476,CB100-2599476,2025-12-29 09:11:09.276,2025-12-29 10:11:10.329,2025-12-29 09:11:09.276,0,83,0,Batch003_2025-12-29_10min.txt,476,18,55574,41.45,3601.053,1.0529999999998836
CB100-2599476,CB100-2599476,2025-12-29 09:11:09.481,2025-12-29 10:11:10.510,2025-12-29 09:11:09.481,0,84,0,Batch003_2025-12-29_10min.txt,476,18,55578,41.45,3601.029,1.0289999999999964
CB100-2599476,CB100-2599476,2025-12-29 09:11:09.687,2025-12-29 10:11:10.751,2025-12-29 09:11:09.687,0,84,0,Batch003_2025-12-29_10min.txt,476,18,55582,41.45,3601.064,1.0639999999998508
CB100-2599476,CB100-2599476,2025-12-29 09:11:09.893,2025-12-29 10:11:10.929,2025-12-29 09:11:09.893,0,83,0,Batch003_2025-12-29_10min.txt,476,18,55586,41.45,3601.036,1.0360000000000582
