device_uid,dosimeter_label,captured_at,log_time,created_at,pulse_count,charge_count,adc_value,source_file,dosimeter_num,monitoring_session_id,id,temperature_c,lag_seconds_raw,lag_seconds
CB100-2559391,CB100-2559391,2025-12-29 10:03:17.040,2025-12-29 11:03:17.645,2025-12-29 10:03:17.040,0,70,0,Batch005_2025-12-29_10min.txt,391,1,104247,43.44,3600.605,0.6050000000000182
CB100-2559391,CB100-2559391,2025-12-29 10:03:17.249,2025-12-29 11:03:17.819,2025-12-29 10:03:17.249,0,70,0,Batch005_2025-12-29_10min.txt,391,1,104251,43.44,3600.57,0.5700000000001637
CB100-2559391,CB100-2559391,2025-12-29 10:03:17.457,2025-12-29 11:03:18.070,2025-12-29 10:03:17.457,0,70,0,Batch005_2025-12-29_10min.txt,391,1,104255,43.44,3600.613,0.612999999999829
CB100-2559391,CB100-2559391,2025-12-29 10:03:17.666,2025-12-29 11:03:18.117,2025-12-29 10:03:17.666,0,70,0,Batch005_2025-12-29_10min.txt,391,1,104256,43.44,3600.451,0.45100000000002183
CB100-2559391,CB100-2559391,2025-12-29 10:03:17.874,2025-12-29 11:03:18.372,2025-12-29 10:03:17.874,0,71,0,Batch005_2025-12-29_10min.txt,391,1,104263,43.44,3600.498,0.4980000000000473
CB100-2559391,CB100-2559391,2025-12-29 10:03:18.083,2025-12-29 11:03:18.554,2025-12-29 10:03:18.083,0,70,0,Batch005_2025-12-29_10min.txt,391,1,104264,43.44,3600.471,0.47100000000000364
CB100-2559391,CB100-2559391,2025-12-29 10:03:18.291,2025-12-29 11:03:18.731,2025-12-29 10:03:18.291,0,69,0,Batch005_2025-12-29_10min.txt,391,1,104268,43.44,3600.44,0.44000000000005457
CB100-2559391,CB100-2559391,2025-12-29 10:03:18.499,2025-12-29 11:03:18.964,2025-12-29 10:03:18.499,0,71,0,Batch005_2025-12-29_10min.txt,391,1,104272,43.44,3600.465,0.4650000000001455
CB100-2559391,CB100-2559391,2025-12-29 10:03:18.708,2025-12-29 11:03:19.144,2025-12-29 10:03:18.708,0,71,0,Batch005_2025-12-29_10min.txt,391,1,104276,43.44,3600.436,0.43600000000014916
CB100-2559391,CB100-2559391,2025-12-29 10:03:18.916,2025-12-29 11:03:19.393,2025-12-29 10:03:18.916,0,71,0,Batch005_2025-12-29_10min.txt,391,1,104281,43.44,3600.477,0.47699999999986176
CB100-2559391,CB100-2559391,2025-12-29 10:03:19.125,2025-12-29 11:03:19.570,2025-12-29 10:03:19.125,0,69,0,Batch005_2025-12-29_10min.txt,391,1,104284,43.44,3600.445,0.4450000000001637
CB100-2559391,CB100-2559391,2025-12-29 10:03:19.333,2025-12-29 11:03:19.920,2025-12-29 10:03:19.333,0,71,0,Batch005_2025-12-29_10min.txt,391,1,104291,43.44,3600.587,0.5869999999999891
CB100-2559391,CB100-2559391,2025-12-29 10:03:19.542,2025-12-29 11:03:19.986,2025-12-29 10:03:19.542,0,70,0,Batch005_2025-12-29_10min.txt,391,1,104292,43.44,3600.444,0.44399999999996
CB100-2559391,CB100-2559391,2025-12-29 10:03:19.750,2025-12-29 11:03:20.232,2025-12-29 10:03:19.750,0,70,0,Batch005_2025-12-29_10min.txt,391,1,104297,43.44,3600.482,0.4819999999999709
CB100-2559391,CB100-2559391,2025-12-29 10:03:19.959,2025-12-29 11:03:20.404,2025-12-29 10:03:19.959,0,70,0,Batch005_2025-12-29_10min.txt,391,1,104300,43.44,3600.445,0.4450000000001637
CB100-2559391,CB100-2559391,2025-12-29 10:03:20.167,2025-12-29 11:03:20.644,2025-12-29 10:03:20.167,0,71,0,Batch005_2025-12-29_10min.txt,391,1,104306,43.44,3600.477,0.47699999999986176
CB100-2559391,CB100-2559391,2025-12-29 10:03:20.375,2025-12-29 11:03:20.830,2025-12-29 10:03:20.375,0,70,0,Batch005_2025-12-29_10min.txt,391,1,104308,43.44,3600.455,0.45499999999992724
CB100-2559391,CB100-2559391,2025-12-29 10:03:20.584,2025-12-29 11:03:21.069,2025-12-29 10:03:20.584,0,70,0,Batch005_2025-12-29_10min.txt,391,1,104313,43.44,3600.485,0.48500000000012733
CB100-2559391,CB100-2559391,2025-12-29 10:03:20.792,2025-12-29 11:03:21.243,2025-12-29 10:03:20.792,0,70,0,Batch005_2025-12-29_10min.txt,391,1,104317,43.44,3600.451,0.45100000000002183
CB100-2559391,CB100-2559391,2025-12-29 10:03:21.001,2025-12-29 11:03:21.484,2025-12-29 10:03:21.001,0,70,0,Batch005_2025-12-29_10min.txt,391,1,104322,43.44,3600.483,0.4830000000001746
CB100-2559391,CB100-2559391,2025-12-29 10:03:21.209,2025-12-29 11:03:21.674,2025-12-29 10:03:21.209,0,70,0,Batch005_2025-12-29_10min.txt,391,1,104325,43.44,3600.465,0.4650000000001455
CB100-2559391,CB100-2559391,2025-12-29 10:03:21.418,2025-12-29 11:03:21.898,2025-12-29 10:03:21.418,0,71,0,Batch005_2025-12-29_10min.txt,391,1,104329,43.44,3600.48,0.4800000000000182
CB100-2559391,CB100-2559391,2025-12-29 10:03:21.626,2025-12-29 11:03:22.091,2025-12-29 10:03:21.626,0,70,0,Batch005_2025-12-29_10min.txt,391,1,104333,43.44,3600.465,0.4650000000001455
CB100-2559391,CB100-2559391,2025-12-29 10:03:21.834,2025-12-29 11:03:22.328,2025-12-29 10:03:21.834,0,70,0,Batch005_2025-12-29_10min.txt,391,1,104338,43.44,3600.494,0.4940000000001419
CB100-2559391,CB100-2559391,2025-12-29 10:03:22.043,2025-12-29 11:03:22.509,2025-12-29 10:03:22.043,0,72,0,Batch005_2025-12-29_10min.txt,391,1,104340,43.44,3600.466,0.4659999999998945
CB100-2559391,CB100-2559391,2025-12-29 10:03:22.251,2025-12-29 11:03:22.745,2025-12-29 10:03:22.251,0,70,0,Batch005_2025-12-29_10min.txt,391,1,104346,43.44,3600.494,0.4940000000001419
CB100-2559391,CB100-2559391,2025-12-29 10:03:22.460,2025-12-29 11:03:22.930,2025-12-29 10:03:22.460,0,70,0,Batch005_2025-12-29_10min.txt,391,1,104349,43.44,3600.47,0.4699999999997999
