device_uid,dosimeter_label,captured_at,log_time,created_at,pulse_count,charge_count,adc_value,source_file,dosimeter_num,monitoring_session_id,id,temperature_c,lag_seconds_raw,lag_seconds
CB100-2600577,CB100-2600577,2025-12-26 12:23:16.303,2025-12-26 13:23:16.919,2025-12-26 12:23:16.303,0,75,0,Batch001_2025-12-26_10min.txt,577,19,2,42.14,3600.616,0.6159999999999854
CB100-2600577,CB100-2600577,2025-12-26 12:23:16.509,2025-12-26 13:23:17.099,2025-12-26 12:23:16.509,0,74,0,Batch001_2025-12-26_10min.txt,577,19,5,42.14,3600.59,0.5900000000001455
CB100-2600577,CB100-2600577,2025-12-26 12:23:16.715,2025-12-26 13:23:17.338,2025-12-26 12:23:16.715,0,75,0,Batch001_2025-12-26_10min.txt,577,19,10,42.14,3600.623,0.6230000000000473
CB100-2600577,CB100-2600577,2025-12-26 12:23:16.921,2025-12-26 13:23:17.505,2025-12-26 12:23:16.921,0,76,0,Batch001_2025-12-26_10min.txt,577,19,14,42.14,3600.584,0.5839999999998327
CB100-2600577,CB100-2600577,2025-12-26 12:23:17.126,2025-12-26 13:23:17.761,2025-12-26 12:23:17.126,0,76,0,Batch001_2025-12-26_10min.txt,577,19,18,42.14,3600.635,0.6350000000002183
CB100-2600577,CB100-2600577,2025-12-26 12:23:17.332,2025-12-26 13:23:17.930,2025-12-26 12:23:17.332,0,76,0,Batch001_2025-12-26_10min.txt,577,19,22,42.14,3600.598,0.5979999999999563
CB100-2600577,CB100-2600577,2025-12-26 12:23:17.538,2025-12-26 13:23:18.178,2025-12-26 12:23:17.538,0,74,0,Batch001_2025-12-26_10min.txt,577,19,27,42.14,3600.64,0.6399999999998727
CB100-2600577,CB100-2600577,2025-12-26 12:23:17.744,2025-12-26 13:23:18.356,2025-12-26 12:23:17.744,0,74,0,Batch001_2025-12-26_10min.txt,577,19,30,42.14,3600.612,0.61200000000008
CB100-2600577,CB100-2600577,2025-12-26 12:23:17.950,2025-12-26 13:23:18.600,2025-12-26 12:23:17.950,0,76,0,Batch001_2025-12-26_10min.txt,577,19,35,42.14,3600.65,0.650000000000091
CB100-2600577,CB100-2600577,2025-12-26 12:23:18.156,2025-12-26 13:23:18.779,2025-12-26 12:23:18.156,0,75,0,Batch001_2025-12-26_10min.txt,577,19,38,42.14,3600.623,0.6230000000000473
CB100-2600577,CB100-2600577,2025-12-26 12:23:18.362,2025-12-26 13:23:19.018,2025-12-26 12:23:18.362,0,75,0,Batch001_2025-12-26_10min.txt,577,19,43,42.14,3600.656,0.6559999999999491
CB100-2600577,CB100-2600577,2025-12-26 12:23:18.567,2025-12-26 13:23:19.194,2025-12-26 12:23:18.567,0,75,0,Batch001_2025-12-26_10min.txt,577,19,46,42.14,3600.627,0.6269999999999527
CB100-2600577,CB100-2600577,2025-12-26 12:23:18.773,2025-12-26 13:23:19.439,2025-12-26 12:23:18.773,0,75,0,Batch001_2025-12-26_10min.txt,577,19,50,42.14,3600.666,0.6660000000001673
CB100-2600577,CB100-2600577,2025-12-26 12:23:18.979,2025-12-26 13:23:19.619,2025-12-26 12:23:18.979,0,74,0,Batch001_2025-12-26_10min.txt,577,19,54,42.14,3600.64,0.6399999999998727
CB100-2600577,CB100-2600577,2025-12-26 12:23:19.185,2025-12-26 13:23:19.798,2025-12-26 12:23:19.185,0,75,0,Batch001_2025-12-26_10min.txt,577,19,57,42.14,3600.613,0.612999999999829
CB100-2600577,CB100-2600577,2025-12-26 12:23:19.391,2025-12-26 13:23:20.037,2025-12-26 12:23:19.391,0,75,0,Batch001_2025-12-26_10min.txt,577,19,62,42.14,3600.646,0.6460000000001855
CB100-2600577,CB100-2600577,2025-12-26 12:23:19.597,2025-12-26 13:23:20.212,2025-12-26 12:23:19.597,0,74,0,Batch001_2025-12-26_10min.txt,577,19,66,42.14,3600.615,0.6149999999997817
