device_uid,dosimeter_label,captured_at,log_time,created_at,pulse_count,charge_count,adc_value,source_file,dosimeter_num,monitoring_session_id,id,temperature_c,lag_seconds_raw,lag_seconds
CB100-2599296,CB100-2599296,2025-12-29 09:37:05.306,2025-12-29 10:37:06.339,2025-12-29 09:37:05.306,0,65,0,Batch004_2025-12-29_10min.txt,296,15,80476,38.86,3601.033,1.0329999999999018
CB100-2599296,CB100-2599296,2025-12-29 09:37:05.511,2025-12-29 10:37:06.513,2025-12-29 09:37:05.511,0,65,0,Batch004_2025-12-29_10min.txt,296,15,80480,38.86,3601.002,1.0019999999999527
CB100-2599296,CB100-2599296,2025-12-29 09:37:05.717,2025-12-29 10:37:06.754,2025-12-29 09:37:05.717,0,66,0,Batch004_2025-12-29_10min.txt,296,15,80484,38.86,3601.037,1.0369999999998072
CB100-2599296,CB100-2599296,2025-12-29 09:37:05.923,2025-12-29 10:37:06.934,2025-12-29 09:37:05.923,0,65,0,Batch004_2025-12-29_10min.txt,296,15,80488,38.86,3601.011,1.0109999999999673
CB100-2599296,CB100-2599296,2025-12-29 09:37:06.128,2025-12-29 10:37:07.169,2025-12-29 09:37:06.128,0,65,0,Batch004_2025-12-29_10min.txt,296,15,80492,38.86,3601.041,1.0410000000001673
CB100-2599296,CB100-2599296,2025-12-29 09:37:06.334,2025-12-29 10:37:07.351,2025-12-29 09:37:06.334,0,66,0,Batch004_2025-12-29_10min.txt,296,15,80496,38.86,3601.017,1.0169999999998254
CB100-2599296,CB100-2599296,2025-12-29 09:37:06.540,2025-12-29 10:37:07.599,2025-12-29 09:37:06.540,0,65,0,Batch004_2025-12-29_10min.txt,296,15,80501,38.86,3601.059,1.0590000000001965
CB100-2599296,CB100-2599296,2025-12-29 09:37:06.745,2025-12-29 10:37:07.777,2025-12-29 09:37:06.745,0,67,0,Batch004_2025-12-29_10min.txt,296,15,80505,38.86,3601.032,1.0320000000001528
CB100-2599296,CB100-2599296,2025-12-29 09:37:06.951,2025-12-29 10:37:07.955,2025-12-29 09:37:06.951,0,65,0,Batch004_2025-12-29_10min.txt,296,15,80508,38.86,3601.004,1.0039999999999054
CB100-2599296,CB100-2599296,2025-12-29 09:37:07.157,2025-12-29 10:37:08.195,2025-12-29 09:37:07.157,0,67,0,Batch004_2025-12-29_10min.txt,296,15,80512,38.86,3601.038,1.038000000000011
CB100-2599296,CB100-2599296,2025-12-29 09:37:07.362,2025-12-29 10:37:08.377,2025-12-29 09:37:07.362,0,67,0,Batch004_2025-12-29_10min.txt,296,15,80516,38.86,3601.015,1.0149999999998727
