device_uid,dosimeter_label,captured_at,log_time,created_at,pulse_count,charge_count,adc_value,source_file,dosimeter_num,monitoring_session_id,id,temperature_c,lag_seconds_raw,lag_seconds
CB100-2597622,CB100-2597622,2025-12-29 09:37:05.344,2025-12-29 10:37:06.402,2025-12-29 09:37:05.344,0,60,0,Batch004_2025-12-29_10min.txt,622,7,80478,33.3,3601.058,1.0579999999999927
CB100-2597622,CB100-2597622,2025-12-29 09:37:05.550,2025-12-29 10:37:06.522,2025-12-29 09:37:05.550,0,61,0,Batch004_2025-12-29_10min.txt,622,7,80481,33.3,3600.972,0.9720000000002074
CB100-2597622,CB100-2597622,2025-12-29 09:37:05.756,2025-12-29 10:37:06.754,2025-12-29 09:37:05.756,0,59,0,Batch004_2025-12-29_10min.txt,622,7,80485,33.3,3600.998,0.9980000000000473
CB100-2597622,CB100-2597622,2025-12-29 09:37:05.962,2025-12-29 10:37:06.934,2025-12-29 09:37:05.962,0,60,0,Batch004_2025-12-29_10min.txt,622,7,80489,33.3,3600.972,0.9720000000002074
CB100-2597622,CB100-2597622,2025-12-29 09:37:06.168,2025-12-29 10:37:07.169,2025-12-29 09:37:06.168,0,59,0,Batch004_2025-12-29_10min.txt,622,7,80493,33.3,3601.001,1.0010000000002037
CB100-2597622,CB100-2597622,2025-12-29 09:37:06.374,2025-12-29 10:37:07.361,2025-12-29 09:37:06.374,0,60,0,Batch004_2025-12-29_10min.txt,622,7,80497,33.3,3600.987,0.98700000000008
CB100-2597622,CB100-2597622,2025-12-29 09:37:06.580,2025-12-29 10:37:07.535,2025-12-29 09:37:06.580,0,58,0,Batch004_2025-12-29_10min.txt,622,7,80500,33.3,3600.955,0.9549999999999272
CB100-2597622,CB100-2597622,2025-12-29 09:37:06.786,2025-12-29 10:37:07.777,2025-12-29 09:37:06.786,0,60,0,Batch004_2025-12-29_10min.txt,622,7,80504,33.3,3600.991,0.9909999999999854
CB100-2597622,CB100-2597622,2025-12-29 09:37:06.993,2025-12-29 10:37:07.955,2025-12-29 09:37:06.993,0,58,0,Batch004_2025-12-29_10min.txt,622,7,80509,33.3,3600.962,0.9619999999999891
CB100-2597622,CB100-2597622,2025-12-29 09:37:07.199,2025-12-29 10:37:08.249,2025-12-29 09:37:07.199,0,60,0,Batch004_2025-12-29_10min.txt,622,7,80514,33.3,3601.05,1.050000000000182
CB100-2597622,CB100-2597622,2025-12-29 09:37:07.405,2025-12-29 10:37:08.443,2025-12-29 09:37:07.405,0,59,0,Batch004_2025-12-29_10min.txt,622,7,80518,33.3,3601.038,1.038000000000011
CB100-2597622,CB100-2597622,2025-12-29 09:37:07.611,2025-12-29 10:37:08.617,2025-12-29 09:37:07.611,0,60,0,Batch004_2025-12-29_10min.txt,622,7,80521,33.3,3601.006,1.0059999999998581
CB100-2597622,CB100-2597622,2025-12-29 09:37:07.817,2025-12-29 10:37:08.802,2025-12-29 09:37:07.817,0,59,0,Batch004_2025-12-29_10min.txt,622,7,80525,33.3,3600.985,0.9850000000001273
CB100-2597622,CB100-2597622,2025-12-29 09:37:08.023,2025-12-29 10:37:09.043,2025-12-29 09:37:08.023,0,59,0,Batch004_2025-12-29_10min.txt,622,7,80529,33.3,3601.02,1.0199999999999818
CB100-2597622,CB100-2597622,2025-12-29 09:37:08.229,2025-12-29 10:37:09.218,2025-12-29 09:37:08.229,0,60,0,Batch004_2025-12-29_10min.txt,622,7,80533,33.3,3600.989,0.9890000000000327
CB100-2597622,CB100-2597622,2025-12-29 09:37:08.435,2025-12-29 10:37:09.462,2025-12-29 09:37:08.435,0,61,0,Batch004_2025-12-29_10min.txt,622,7,80537,33.3,3601.027,1.0270000000000437
CB100-2597622,CB100-2597622,2025-12-29 09:37:08.641,2025-12-29 10:37:09.642,2025-12-29 09:37:08.641,0,59,0,Batch004_2025-12-29_10min.txt,622,7,80541,33.3,3601.001,1.0010000000002037
CB100-2597622,CB100-2597622,2025-12-29 09:37:08.847,2025-12-29 10:37:09.941,2025-12-29 09:37:08.847,0,59,0,Batch004_2025-12-29_10min.txt,622,7,80545,33.3,3601.094,1.094000000000051
CB100-2597622,CB100-2597622,2025-12-29 09:37:09.054,2025-12-29 10:37:10.123,2025-12-29 09:37:09.054,0,60,0,Batch004_2025-12-29_10min.txt,622,7,80549,33.3,3601.069,1.06899999999996
