device_uid,dosimeter_label,captured_at,log_time,created_at,pulse_count,charge_count,adc_value,source_file,dosimeter_num,monitoring_session_id,id,temperature_c,lag_seconds_raw,lag_seconds
CB100-2598507,CB100-2598507,2025-12-29 08:46:39.521,2025-12-29 09:46:40.901,2025-12-29 08:46:39.521,0,62,0,Batch002_2025-12-29_10min.txt,507,13,36667,37.11,3601.38,1.3800000000001091
CB100-2598507,CB100-2598507,2025-12-29 08:46:39.727,2025-12-29 09:46:41.140,2025-12-29 08:46:39.727,0,61,0,Batch002_2025-12-29_10min.txt,507,13,36672,37.11,3601.413,1.413000000000011
CB100-2598507,CB100-2598507,2025-12-29 08:46:39.933,2025-12-29 09:46:41.321,2025-12-29 08:46:39.933,0,62,0,Batch002_2025-12-29_10min.txt,507,13,36676,37.11,3601.388,1.38799999999992
CB100-2598507,CB100-2598507,2025-12-29 08:46:40.138,2025-12-29 09:46:41.560,2025-12-29 08:46:40.138,0,60,0,Batch002_2025-12-29_10min.txt,507,13,36681,37.11,3601.422,1.4220000000000255
CB100-2598507,CB100-2598507,2025-12-29 08:46:40.344,2025-12-29 09:46:41.741,2025-12-29 08:46:40.344,0,61,0,Batch002_2025-12-29_10min.txt,507,13,36684,37.11,3601.397,1.3969999999999345
CB100-2598507,CB100-2598507,2025-12-29 08:46:40.549,2025-12-29 09:46:41.981,2025-12-29 08:46:40.549,0,61,0,Batch002_2025-12-29_10min.txt,507,13,36689,37.11,3601.432,1.431999999999789
CB100-2598507,CB100-2598507,2025-12-29 08:46:40.755,2025-12-29 09:46:42.161,2025-12-29 08:46:40.755,0,62,0,Batch002_2025-12-29_10min.txt,507,13,36692,37.11,3601.406,1.405999999999949
CB100-2598507,CB100-2598507,2025-12-29 08:46:40.961,2025-12-29 09:46:42.401,2025-12-29 08:46:40.961,0,62,0,Batch002_2025-12-29_10min.txt,507,13,36698,37.11,3601.44,1.4400000000000546
CB100-2598507,CB100-2598507,2025-12-29 08:46:41.166,2025-12-29 09:46:42.640,2025-12-29 08:46:41.166,0,61,0,Batch002_2025-12-29_10min.txt,507,13,36702,37.11,3601.474,1.47400000000016
CB100-2598507,CB100-2598507,2025-12-29 08:46:41.372,2025-12-29 09:46:42.761,2025-12-29 08:46:41.372,0,62,0,Batch002_2025-12-29_10min.txt,507,13,36704,37.11,3601.389,1.3890000000001237
CB100-2598507,CB100-2598507,2025-12-29 08:46:41.577,2025-12-29 09:46:43.002,2025-12-29 08:46:41.577,0,60,0,Batch002_2025-12-29_10min.txt,507,13,36709,37.11,3601.425,1.425000000000182
CB100-2598507,CB100-2598507,2025-12-29 08:46:41.783,2025-12-29 09:46:43.181,2025-12-29 08:46:41.783,0,61,0,Batch002_2025-12-29_10min.txt,507,13,36712,37.11,3601.398,1.3980000000001382
CB100-2598507,CB100-2598507,2025-12-29 08:46:41.988,2025-12-29 09:46:43.420,2025-12-29 08:46:41.988,0,61,0,Batch002_2025-12-29_10min.txt,507,13,36717,37.11,3601.432,1.431999999999789
CB100-2598507,CB100-2598507,2025-12-29 08:46:42.194,2025-12-29 09:46:43.600,2025-12-29 08:46:42.194,0,62,0,Batch002_2025-12-29_10min.txt,507,13,36720,37.11,3601.406,1.405999999999949
CB100-2598507,CB100-2598507,2025-12-29 08:46:42.399,2025-12-29 09:46:43.840,2025-12-29 08:46:42.399,0,62,0,Batch002_2025-12-29_10min.txt,507,13,36725,37.11,3601.441,1.4409999999998035
CB100-2598507,CB100-2598507,2025-12-29 08:46:42.605,2025-12-29 09:46:44.021,2025-12-29 08:46:42.605,0,60,0,Batch002_2025-12-29_10min.txt,507,13,36729,37.11,3601.416,1.4160000000001673
CB100-2598507,CB100-2598507,2025-12-29 08:46:42.811,2025-12-29 09:46:44.261,2025-12-29 08:46:42.811,0,62,0,Batch002_2025-12-29_10min.txt,507,13,36733,37.11,3601.45,1.449999999999818
CB100-2598507,CB100-2598507,2025-12-29 08:46:43.016,2025-12-29 09:46:44.441,2025-12-29 08:46:43.016,0,63,0,Batch002_2025-12-29_10min.txt,507,13,36737,37.11,3601.425,1.425000000000182
CB100-2598507,CB100-2598507,2025-12-29 08:46:43.222,2025-12-29 09:46:44.681,2025-12-29 08:46:43.222,0,61,0,Batch002_2025-12-29_10min.txt,507,13,36741,37.11,3601.459,1.4589999999998327
CB100-2598507,CB100-2598507,2025-12-29 08:46:43.427,2025-12-29 09:46:44.861,2025-12-29 08:46:43.427,0,60,0,Batch002_2025-12-29_10min.txt,507,13,36745,37.11,3601.434,1.4340000000001965
CB100-2598507,CB100-2598507,2025-12-29 08:46:43.633,2025-12-29 09:46:45.101,2025-12-29 08:46:43.633,0,62,0,Batch002_2025-12-29_10min.txt,507,13,36749,37.11,3601.468,1.4679999999998472
CB100-2598507,CB100-2598507,2025-12-29 08:46:43.838,2025-12-29 09:46:45.281,2025-12-29 08:46:43.838,0,61,0,Batch002_2025-12-29_10min.txt,507,13,36753,37.11,3601.443,1.443000000000211
CB100-2598507,CB100-2598507,2025-12-29 08:46:44.044,2025-12-29 09:46:45.535,2025-12-29 08:46:44.044,0,61,0,Batch002_2025-12-29_10min.txt,507,13,36758,37.11,3601.491,1.4909999999999854
CB100-2598507,CB100-2598507,2025-12-29 08:46:44.250,2025-12-29 09:46:45.706,2025-12-29 08:46:44.250,0,61,0,Batch002_2025-12-29_10min.txt,507,13,36760,37.11,3601.456,1.456000000000131
CB100-2598507,CB100-2598507,2025-12-29 08:46:44.455,2025-12-29 09:46:45.881,2025-12-29 08:46:44.455,0,62,0,Batch002_2025-12-29_10min.txt,507,13,36765,37.11,3601.426,1.4259999999999309
CB100-2598507,CB100-2598507,2025-12-29 08:46:44.661,2025-12-29 09:46:46.121,2025-12-29 08:46:44.661,0,60,0,Batch002_2025-12-29_10min.txt,507,13,36768,37.11,3601.46,1.4600000000000364
CB100-2598507,CB100-2598507,2025-12-29 08:46:44.866,2025-12-29 09:46:46.300,2025-12-29 08:46:44.866,0,62,0,Batch002_2025-12-29_10min.txt,507,13,36772,37.11,3601.434,1.4340000000001965
CB100-2598507,CB100-2598507,2025-12-29 08:46:45.072,2025-12-29 09:46:46.542,2025-12-29 08:46:45.072,0,60,0,Batch002_2025-12-29_10min.txt,507,13,36777,37.11,3601.47,1.4699999999998
CB100-2598507,CB100-2598507,2025-12-29 08:46:45.277,2025-12-29 09:46:46.721,2025-12-29 08:46:45.277,0,62,0,Batch002_2025-12-29_10min.txt,507,13,36781,37.11,3601.444,1.44399999999996
CB100-2598507,CB100-2598507,2025-12-29 08:46:45.483,2025-12-29 09:46:46.962,2025-12-29 08:46:45.483,0,62,0,Batch002_2025-12-29_10min.txt,507,13,36785,37.11,3601.479,1.4789999999998145
CB100-2598507,CB100-2598507,2025-12-29 08:46:45.688,2025-12-29 09:46:47.141,2025-12-29 08:46:45.688,0,60,0,Batch002_2025-12-29_10min.txt,507,13,36789,37.11,3601.453,1.4529999999999745
CB100-2598507,CB100-2598507,2025-12-29 08:46:45.894,2025-12-29 09:46:47.381,2025-12-29 08:46:45.894,0,62,0,Batch002_2025-12-29_10min.txt,507,13,36793,37.11,3601.487,1.48700000000008
CB100-2598507,CB100-2598507,2025-12-29 08:46:46.100,2025-12-29 09:46:47.562,2025-12-29 08:46:46.100,0,61,0,Batch002_2025-12-29_10min.txt,507,13,36797,37.11,3601.462,1.461999999999989
CB100-2598507,CB100-2598507,2025-12-29 08:46:46.305,2025-12-29 09:46:47.801,2025-12-29 08:46:46.305,0,61,0,Batch002_2025-12-29_10min.txt,507,13,36801,37.11,3601.496,1.4960000000000946
CB100-2598507,CB100-2598507,2025-12-29 08:46:46.511,2025-12-29 09:46:47.983,2025-12-29 08:46:46.511,0,60,0,Batch002_2025-12-29_10min.txt,507,13,36806,37.11,3601.472,1.4720000000002074
CB100-2598507,CB100-2598507,2025-12-29 08:46:46.716,2025-12-29 09:46:48.220,2025-12-29 08:46:46.716,0,61,0,Batch002_2025-12-29_10min.txt,507,13,36810,37.11,3601.504,1.5039999999999054
CB100-2598507,CB100-2598507,2025-12-29 08:46:46.922,2025-12-29 09:46:48.400,2025-12-29 08:46:46.922,0,61,0,Batch002_2025-12-29_10min.txt,507,13,36813,37.11,3601.478,1.4780000000000655
CB100-2598507,CB100-2598507,2025-12-29 08:46:47.127,2025-12-29 09:46:48.700,2025-12-29 08:46:47.127,0,61,0,Batch002_2025-12-29_10min.txt,507,13,36819,37.11,3601.573,1.5729999999998654
CB100-2598507,CB100-2598507,2025-12-29 08:46:47.333,2025-12-29 09:46:48.821,2025-12-29 08:46:47.333,0,61,0,Batch002_2025-12-29_10min.txt,507,13,36821,37.11,3601.488,1.487999999999829
CB100-2598507,CB100-2598507,2025-12-29 08:46:47.538,2025-12-29 09:46:49.001,2025-12-29 08:46:47.538,0,60,0,Batch002_2025-12-29_10min.txt,507,13,36825,37.11,3601.463,1.4630000000001928
CB100-2598507,CB100-2598507,2025-12-29 08:46:47.744,2025-12-29 09:46:49.420,2025-12-29 08:46:47.744,0,61,0,Batch002_2025-12-29_10min.txt,507,13,36832,37.11,3601.676,1.6759999999999309
CB100-2598507,CB100-2598507,2025-12-29 08:46:47.949,2025-12-29 09:46:49.430,2025-12-29 08:46:47.949,0,60,0,Batch002_2025-12-29_10min.txt,507,13,36834,37.11,3601.481,1.481000000000222
CB100-2598507,CB100-2598507,2025-12-29 08:46:48.155,2025-12-29 09:46:49.781,2025-12-29 08:46:48.155,0,60,0,Batch002_2025-12-29_10min.txt,507,13,36839,37.11,3601.626,1.6260000000002037
CB100-2598507,CB100-2598507,2025-12-29 08:46:48.360,2025-12-29 09:46:49.840,2025-12-29 08:46:48.360,0,61,0,Batch002_2025-12-29_10min.txt,507,13,36841,37.11,3601.48,1.4800000000000182
CB100-2598507,CB100-2598507,2025-12-29 08:46:48.566,2025-12-29 09:46:50.082,2025-12-29 08:46:48.566,0,62,0,Batch002_2025-12-29_10min.txt,507,13,36846,37.11,3601.516,1.5160000000000764
CB100-2598507,CB100-2598507,2025-12-29 08:46:48.772,2025-12-29 09:46:50.261,2025-12-29 08:46:48.772,0,60,0,Batch002_2025-12-29_10min.txt,507,13,36849,37.11,3601.489,1.4890000000000327
CB100-2598507,CB100-2598507,2025-12-29 08:46:48.977,2025-12-29 09:46:50.501,2025-12-29 08:46:48.977,0,61,0,Batch002_2025-12-29_10min.txt,507,13,36854,37.11,3601.524,1.5239999999998872
CB100-2598507,CB100-2598507,2025-12-29 08:46:49.183,2025-12-29 09:46:50.684,2025-12-29 08:46:49.183,0,61,0,Batch002_2025-12-29_10min.txt,507,13,36857,37.11,3601.501,1.5010000000002037
