device_uid,dosimeter_label,captured_at,log_time,created_at,pulse_count,charge_count,adc_value,source_file,dosimeter_num,monitoring_session_id,id,temperature_c,lag_seconds_raw,lag_seconds
CB100-2598385,CB100-2598385,2025-12-26 12:23:15.581,2025-12-26 13:23:16.972,2025-12-26 12:23:15.581,0,65,0,Batch001_2025-12-26_10min.txt,385,12,3,37.25,3601.391,1.3910000000000764
CB100-2598385,CB100-2598385,2025-12-26 12:23:15.787,2025-12-26 13:23:17.155,2025-12-26 12:23:15.787,0,65,0,Batch001_2025-12-26_10min.txt,385,12,7,37.25,3601.368,1.3679999999999382
CB100-2598385,CB100-2598385,2025-12-26 12:23:15.992,2025-12-26 13:23:17.395,2025-12-26 12:23:15.992,0,67,0,Batch001_2025-12-26_10min.txt,385,12,11,37.25,3601.403,1.4029999999997926
CB100-2598385,CB100-2598385,2025-12-26 12:23:16.198,2025-12-26 13:23:17.575,2025-12-26 12:23:16.198,0,66,0,Batch001_2025-12-26_10min.txt,385,12,15,37.25,3601.377,1.3769999999999527
CB100-2598385,CB100-2598385,2025-12-26 12:23:16.403,2025-12-26 13:23:17.760,2025-12-26 12:23:16.403,0,65,0,Batch001_2025-12-26_10min.txt,385,12,19,37.25,3601.357,1.356999999999971
CB100-2598385,CB100-2598385,2025-12-26 12:23:16.608,2025-12-26 13:23:18.043,2025-12-26 12:23:16.608,0,65,0,Batch001_2025-12-26_10min.txt,385,12,23,37.25,3601.435,1.4349999999999454
CB100-2598385,CB100-2598385,2025-12-26 12:23:16.814,2025-12-26 13:23:18.174,2025-12-26 12:23:16.814,0,65,0,Batch001_2025-12-26_10min.txt,385,12,26,37.25,3601.36,1.3600000000001273
CB100-2598385,CB100-2598385,2025-12-26 12:23:17.019,2025-12-26 13:23:18.423,2025-12-26 12:23:17.019,0,65,0,Batch001_2025-12-26_10min.txt,385,12,31,37.25,3601.404,1.4039999999999964
CB100-2598385,CB100-2598385,2025-12-26 12:23:17.224,2025-12-26 13:23:18.582,2025-12-26 12:23:17.224,0,66,0,Batch001_2025-12-26_10min.txt,385,12,34,37.25,3601.358,1.3580000000001746
CB100-2598385,CB100-2598385,2025-12-26 12:23:17.430,2025-12-26 13:23:18.835,2025-12-26 12:23:17.430,0,66,0,Batch001_2025-12-26_10min.txt,385,12,39,37.25,3601.405,1.4050000000002
CB100-2598385,CB100-2598385,2025-12-26 12:23:17.635,2025-12-26 13:23:19.014,2025-12-26 12:23:17.635,0,66,0,Batch001_2025-12-26_10min.txt,385,12,42,37.25,3601.379,1.3789999999999054
CB100-2598385,CB100-2598385,2025-12-26 12:23:17.841,2025-12-26 13:23:19.247,2025-12-26 12:23:17.841,0,65,0,Batch001_2025-12-26_10min.txt,385,12,47,37.25,3601.406,1.405999999999949
