device_uid,dosimeter_label,captured_at,log_time,created_at,pulse_count,charge_count,adc_value,source_file,dosimeter_num,monitoring_session_id,id,temperature_c,lag_seconds_raw,lag_seconds
CB100-2599377,CB100-2599377,2025-12-29 08:46:39.888,2025-12-29 09:46:40.905,2025-12-29 08:46:39.888,0,59,0,Batch002_2025-12-29_10min.txt,377,16,36669,33.54,3601.017,1.0169999999998254
CB100-2599377,CB100-2599377,2025-12-29 08:46:40.090,2025-12-29 09:46:41.208,2025-12-29 08:46:40.090,0,60,0,Batch002_2025-12-29_10min.txt,377,16,36675,33.54,3601.118,1.1179999999999382
CB100-2599377,CB100-2599377,2025-12-29 08:46:40.292,2025-12-29 09:46:41.325,2025-12-29 08:46:40.292,0,60,0,Batch002_2025-12-29_10min.txt,377,16,36677,33.54,3601.033,1.0329999999999018
CB100-2599377,CB100-2599377,2025-12-29 08:46:40.494,2025-12-29 09:46:41.506,2025-12-29 08:46:40.494,0,59,0,Batch002_2025-12-29_10min.txt,377,16,36680,33.54,3601.012,1.012000000000171
CB100-2599377,CB100-2599377,2025-12-29 08:46:40.696,2025-12-29 09:46:41.746,2025-12-29 08:46:40.696,0,59,0,Batch002_2025-12-29_10min.txt,377,16,36685,33.54,3601.05,1.050000000000182
CB100-2599377,CB100-2599377,2025-12-29 08:46:40.898,2025-12-29 09:46:41.926,2025-12-29 08:46:40.898,0,59,0,Batch002_2025-12-29_10min.txt,377,16,36688,33.54,3601.028,1.0279999999997926
CB100-2599377,CB100-2599377,2025-12-29 08:46:41.100,2025-12-29 09:46:42.165,2025-12-29 08:46:41.100,0,59,0,Batch002_2025-12-29_10min.txt,377,16,36693,33.54,3601.065,1.0650000000000546
CB100-2599377,CB100-2599377,2025-12-29 08:46:41.302,2025-12-29 09:46:42.345,2025-12-29 08:46:41.302,0,59,0,Batch002_2025-12-29_10min.txt,377,16,36696,33.54,3601.043,1.04300000000012
CB100-2599377,CB100-2599377,2025-12-29 08:46:41.504,2025-12-29 09:46:42.526,2025-12-29 08:46:41.504,0,60,0,Batch002_2025-12-29_10min.txt,377,16,36700,33.54,3601.022,1.0219999999999345
CB100-2599377,CB100-2599377,2025-12-29 08:46:41.706,2025-12-29 09:46:42.765,2025-12-29 08:46:41.706,0,60,0,Batch002_2025-12-29_10min.txt,377,16,36705,33.54,3601.059,1.0590000000001965
CB100-2599377,CB100-2599377,2025-12-29 08:46:41.908,2025-12-29 09:46:42.947,2025-12-29 08:46:41.908,0,59,0,Batch002_2025-12-29_10min.txt,377,16,36708,33.54,3601.039,1.0390000000002146
CB100-2599377,CB100-2599377,2025-12-29 08:46:42.110,2025-12-29 09:46:43.190,2025-12-29 08:46:42.110,0,59,0,Batch002_2025-12-29_10min.txt,377,16,36713,33.54,3601.08,1.0799999999999272
CB100-2599377,CB100-2599377,2025-12-29 08:46:42.312,2025-12-29 09:46:43.366,2025-12-29 08:46:42.312,0,60,0,Batch002_2025-12-29_10min.txt,377,16,36716,33.54,3601.054,1.0540000000000873
CB100-2599377,CB100-2599377,2025-12-29 08:46:42.514,2025-12-29 09:46:43.605,2025-12-29 08:46:42.514,0,59,0,Batch002_2025-12-29_10min.txt,377,16,36721,33.54,3601.091,1.0909999999998945
CB100-2599377,CB100-2599377,2025-12-29 08:46:42.716,2025-12-29 09:46:43.786,2025-12-29 08:46:42.716,0,60,0,Batch002_2025-12-29_10min.txt,377,16,36724,33.54,3601.07,1.0700000000001637
CB100-2599377,CB100-2599377,2025-12-29 08:46:42.918,2025-12-29 09:46:43.965,2025-12-29 08:46:42.918,0,60,0,Batch002_2025-12-29_10min.txt,377,16,36728,33.54,3601.047,1.0470000000000255
